Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
20,qua,2018-08-22,21:00,Palmeiras,2–0,Botafogo (RJ),24.882,Allianz Parque
20,qua,2018-08-22,21:00,Sport Recife,0–2,América (MG),16.425,Estádio Adelmar da Costa Carvalho
20,qua,2018-08-22,21:45,Fluminense,1–0,Corinthians,8.444,Estadio Jornalista Mário Filho
20,qua,2018-08-22,21:45,Grêmio,1–1,Cruzeiro,12.773,Arena do Grêmio
,,,,,,,,
21,sáb,2018-08-25,16:00,Santos,2–0,Bahia,11.564,Estádio Urbano Caldeira
21,sáb,2018-08-25,19:00,Corinthians,1–0,Paraná,28.136,Arena Corinthians
21,sáb,2018-08-25,19:00,Ath Paranaense,2–1,Grêmio,12.188,Estádio Joaquim Américo Guimarães
21,dom,2018-08-26,11:00,São Paulo,1–0,Ceará,57.323,Estádio do Morumbi
21,dom,2018-08-26,16:00,Vitória,1–0,Atlético Mineiro,5.954,Estádio Manoel Barradas
21,dom,2018-08-26,16:00,Internacional,0–0,Palmeiras,40.125,Estádio José Pinheiro Borba
21,dom,2018-08-26,16:00,América (MG),2–2,Flamengo,12.887,Estádio Raimundo Sampaio
21,dom,2018-08-26,19:00,Vasco da Gama,3–1,Chapecoense,8.782,Estádio Club de Regatas Vasco da Gama
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
21,sáb,2018-08-25,21:00,Cruzeiro,2–1,Fluminense,14.449,Estádio Governador Magalhães Pinto
21,sáb,2018-08-25,21:00,Botafogo (RJ),2–0,Sport Recife,6.031,Estádio Nilton Santos
,,,,,,,,
15,qua,2018-08-29,19:30,Ceará,0–2,Bahia,11.395,Estádio Presidente Vargas
15,qua,2018-08-29,19:30,Ath Paranaense,1–0,Vasco da Gama,11.119,Estádio Joaquim Américo Guimarães
,,,,,,,,
22,sáb,2018-09-01,16:00,Grêmio,4–0,Botafogo (RJ),14.852,Arena do Grêmio
22,sáb,2018-09-01,16:00,Vitória,1–0,América (MG),11.799,Estádio Manoel Barradas
22,sáb,2018-09-01,19:00,Vasco da Gama,0–3,Santos,33.646,Estádio Club de Regatas Vasco da Gama
22,dom,2018-09-02,11:00,Flamengo,0–1,Ceará,61.277,Estádio Luso-Brasileiro
22,dom,2018-09-02,16:00,Ath Paranaense,2–0,Bahia,13.433,Estádio Joaquim Américo Guimarães
22,dom,2018-09-02,16:00,São Paulo,1–1,Fluminense,49.348,Estádio do Morumbi
22,dom,2018-09-02,16:00,Sport Recife,1–0,Paraná,13.966,Estádio Adelmar da Costa Carvalho
22,dom,2018-09-02,19:00,Chapecoense,1–2,Palmeiras,4.546,Arena Condá
22,dom,2018-09-02,19:00,Cruzeiro,0–0,Internacional,16.247,Estádio Governador Magalhães Pinto
22,sáb,2018-09-01,21:00,Corinthians,1–1,Atlético Mineiro,29.371,Arena Corinthians
,,,,,,,,
23,qua,2018-09-05,19:30,Bahia,2–0,Sport Recife,13.816,Itaipava Arena Fonte Nova
23,qua,2018-09-05,19:30,Botafogo (RJ),1–1,Cruzeiro,5.779,Estádio Nilton Santos
23,qua,2018-09-05,20:00,Ceará,2–1,Corinthians,39.785,Estádio Castelão
23,qui,2018-09-06,19:00,Fluminense,0–0,Vitória,8.952,Estadio Jornalista Mário Filho
23,qui,2018-09-06,19:00,Santos,0–0,Grêmio,16.083,Estádio Urbano Caldeira
23,qui,2018-09-06,20:00,América (MG),2–1,Vasco da Gama,5.061,Estádio Raimundo Sampaio
23,qua,2018-09-05,21:00,Paraná,1–1,Chapecoense,2.239,Estádio Durival de Brito e Silva
23,qua,2018-09-05,21:00,Palmeiras,2–0,Ath Paranaense,24.601,Allianz Parque
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
23,qua,2018-09-05,21:45,Atlético Mineiro,1–0,São Paulo,20.852,Estádio Raimundo Sampaio
23,qua,2018-09-05,21:45,Internacional,2–1,Flamengo,31.487,Estádio José Pinheiro Borba
,,,,,,,,
24,sáb,2018-09-08,16:00,Sport Recife,0–0,Cruzeiro,9.525,Estádio Adelmar da Costa Carvalho
24,sáb,2018-09-08,19:00,São Paulo,1–0,Bahia,43.555,Estádio do Morumbi
24,dom,2018-09-09,16:00,Palmeiras,1–0,Corinthians,38.568,Allianz Parque
24,dom,2018-09-09,16:00,Fluminense,1–0,Botafogo (RJ),10.699,Estadio Jornalista Mário Filho
24,dom,2018-09-09,16:00,América (MG),0–0,Ceará,4.348,Estádio Raimundo Sampaio
24,dom,2018-09-09,16:00,Internacional,1–0,Grêmio,41.742,Estádio José Pinheiro Borba
24,dom,2018-09-09,19:00,Vitória,1–0,Vasco da Gama,10.092,Estádio Manoel Barradas
24,dom,2018-09-09,19:00,Paraná,0–2,Santos,4.504,Estádio Durival de Brito e Silva
24,sáb,2018-09-08,21:00,Flamengo,2–0,Chapecoense,30.647,Estádio Luso-Brasileiro
24,seg,2018-09-10,20:00,Atlético Mineiro,3–1,Ath Paranaense,20.922,Estádio Raimundo Sampaio
,,,,,,,,
20,qui,2018-09-13,20:00,Chapecoense,2–1,Ath Paranaense,4.146,Arena Condá
,,,,,,,,
25,sáb,2018-09-15,16:00,Grêmio,2–0,Paraná,19.278,Arena do Grêmio
25,sáb,2018-09-15,16:00,Ceará,2–0,Vitória,32.136,Estádio Castelão
25,sáb,2018-09-15,19:00,Vasco da Gama,1–1,Flamengo,54.288,Estádio Club de Regatas Vasco da Gama
25,dom,2018-09-16,11:00,Botafogo (RJ),1–0,América (MG),25.382,Estádio Nilton Santos
25,dom,2018-09-16,16:00,Bahia,1–1,Palmeiras,24.495,Itaipava Arena Fonte Nova
25,dom,2018-09-16,16:00,Santos,0–0,São Paulo,13.488,Estádio Urbano Caldeira
25,dom,2018-09-16,16:00,Cruzeiro,0–0,Atlético Mineiro,24.999,Estádio Governador Magalhães Pinto
25,dom,2018-09-16,16:00,Ath Paranaense,3–1,Fluminense,9.872,Estádio Joaquim Américo Guimarães
25,dom,2018-09-16,19:00,Corinthians,2–1,Sport Recife,20.901,Arena Corinthians
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
25,seg,2018-09-17,20:00,Chapecoense,2–1,Internacional,16.981,Arena Condá
,,,,,,,,
26,sáb,2018-09-22,16:00,São Paulo,1–1,América (MG),47.846,Estádio do Morumbi
26,dom,2018-09-23,11:00,Grêmio,3–2,Ceará,36.789,Arena do Grêmio
26,dom,2018-09-23,16:00,Flamengo,2–1,Atlético Mineiro,39.462,Estádio Luso-Brasileiro
26,dom,2018-09-23,16:00,Ath Paranaense,3–0,Paraná,12.956,Estádio Joaquim Américo Guimarães
26,dom,2018-09-23,16:00,Corinthians,1–1,Internacional,26.916,Arena Corinthians
26,dom,2018-09-23,18:00,Sport Recife,0–1,Palmeiras,18.681,Estádio Adelmar da Costa Carvalho
26,dom,2018-09-23,18:00,Vitória,3–4,Botafogo (RJ),9.481,Estádio Manoel Barradas
26,dom,2018-09-23,19:00,Cruzeiro,2–1,Santos,9.029,Estádio Governador Magalhães Pinto
26,seg,2018-09-24,20:00,Vasco da Gama,2–1,Bahia,13.293,Estádio Club de Regatas Vasco da Gama
26,seg,2018-09-24,20:00,Chapecoense,1–2,Fluminense,5.170,Arena Condá
,,,,,,,,
3,qui,2018-09-27,20:00,Santos,1–1,Vasco da Gama,12.985,Estádio do Pacaembú
,,,,,,,,
27,sáb,2018-09-29,16:00,Fluminense,0–1,Grêmio,8.721,Estadio Jornalista Mário Filho
27,sáb,2018-09-29,19:00,América (MG),0–0,Corinthians,8.012,Estádio Raimundo Sampaio
27,dom,2018-09-30,11:00,Palmeiras,3–1,Cruzeiro,35.674,Allianz Parque
27,dom,2018-09-30,16:00,Internacional,2–1,Vitória,33.347,Estádio José Pinheiro Borba
27,dom,2018-09-30,16:00,Santos,1–0,Ath Paranaense,7.802,Estádio Urbano Caldeira
27,dom,2018-09-30,16:00,Botafogo (RJ),2–2,São Paulo,19.976,Estádio Nilton Santos
27,dom,2018-09-30,16:00,Atlético Mineiro,5–2,Sport Recife,21.654,Estádio Raimundo Sampaio
27,dom,2018-09-30,19:00,Ceará,3–1,Chapecoense,28.226,Estádio Castelão
27,sáb,2018-09-29,21:00,Bahia,0–0,Flamengo,31.059,Itaipava Arena Fonte Nova
27,seg,2018-10-01,20:00,Paraná,1–1,Vasco da Gama,3.210,Estádio Durival de Brito e Silva
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
,,,,,,,,
28,sex,2018-10-05,19:00,Sport Recife,2–1,Internacional,9.979,Estádio Adelmar da Costa Carvalho
28,sáb,2018-10-06,16:00,Chapecoense,1–0,Atlético Mineiro,10.074,Arena Condá
28,sáb,2018-10-06,16:00,Ath Paranaense,4–0,América (MG),11.443,Estádio Joaquim Américo Guimarães
28,sáb,2018-10-06,18:00,São Paulo,0–2,Palmeiras,56.694,Estádio do Morumbi
28,sex,2018-10-05,21:00,Corinthians,0–3,Flamengo,41.693,Arena Corinthians
28,sex,2018-10-05,21:30,Vitória,0–1,Santos,7.478,Estádio Manoel Barradas
28,sáb,2018-10-06,21:00,Grêmio,2–2,Bahia,29.612,Arena do Grêmio
28,seg,2018-10-08,20:00,Fluminense,4–0,Paraná,6.715,Estadio Jornalista Mário Filho
28,ter,2018-10-09,21:00,Botafogo (RJ),1–1,Vasco da Gama,10.059,Estádio Nilton Santos
,,,,,,,,
29,sáb,2018-10-13,17:00,Flamengo,3–0,Fluminense,52.924,Estádio Luso-Brasileiro
29,sáb,2018-10-13,19:00,Santos,1–0,Corinthians,26.428,Estádio Urbano Caldeira
29,dom,2018-10-14,11:00,Chapecoense,0–1,Vitória,6.280,Arena Condá
29,dom,2018-10-14,16:00,Vasco da Gama,2–0,Cruzeiro,11.376,Estádio Club de Regatas Vasco da Gama
29,dom,2018-10-14,16:00,Internacional,3–1,São Paulo,41.640,Estádio José Pinheiro Borba
29,dom,2018-10-14,16:00,Palmeiras,2–0,Grêmio,35.812,Allianz Parque
29,dom,2018-10-14,19:00,Ath Paranaense,4–0,Sport Recife,9.139,Estádio Joaquim Américo Guimarães
29,dom,2018-10-14,19:00,Atlético Mineiro,0–0,América (MG),20.526,Estádio Raimundo Sampaio
29,sáb,2018-10-13,21:00,Bahia,2–0,Paraná,29.215,Itaipava Arena Fonte Nova
29,seg,2018-10-15,20:00,Ceará,0–0,Botafogo (RJ),29.946,Estádio Castelão
,,,,,,,,
30,sáb,2018-10-20,16:00,América (MG),1–1,Grêmio,5.821,Estádio Raimundo Sampaio
30,sáb,2018-10-20,16:00,Botafogo (RJ),0–1,Bahia,8.180,Estádio Nilton Santos
30,sáb,2018-10-20,19:00,São Paulo,0–0,Ath Paranaense,13.053,Estádio do Morumbi
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
30,sáb,2018-10-20,19:00,Sport Recife,2–1,Vasco da Gama,13.860,Estádio Adelmar da Costa Carvalho
30,dom,2018-10-21,16:00,Vitória,2–2,Corinthians,17.982,Estádio Manoel Barradas
30,dom,2018-10-21,17:00 (16:00),Palmeiras,2–1,Ceará,36.323,Allianz Parque
30,dom,2018-10-21,17:00 (16:00),Fluminense,1–0,Atlético Mineiro,4.762,Estadio Jornalista Mário Filho
30,dom,2018-10-21,20:00 (19:00),Cruzeiro,3–0,Chapecoense,12.666,Estádio Governador Magalhães Pinto
30,dom,2018-10-21,20:00 (19:00),Paraná,0–4,Flamengo,4.271,Estádio Durival de Brito e Silva
30,seg,2018-10-22,21:00 (20:00),Internacional,2–2,Santos,38.492,Estádio José Pinheiro Borba
,,,,,,,,
28,qua,2018-10-24,20:30 (19:30),Cruzeiro,0–2,Ceará,30.814,Estádio Governador Magalhães Pinto
,,,,,,,,
31,sex,2018-10-26,19:30,Vitória,0–1,São Paulo,11.283,Estádio Manoel Barradas
31,sáb,2018-10-27,17:30 (16:30),Grêmio,3–4,Sport Recife,12.165,Arena do Grêmio
31,sáb,2018-10-27,17:30 (16:30),Santos,3–0,Fluminense,8.680,Estádio Urbano Caldeira
31,sáb,2018-10-27,20:00 (19:00),Corinthians,2–1,Bahia,35.382,Arena Corinthians
31,sáb,2018-10-27,20:00 (19:00),Chapecoense,1–0,América (MG),13.238,Arena Condá
31,sáb,2018-10-27,20:00 (19:00),Flamengo,1–1,Palmeiras,65.102,Estadio Jornalista Mário Filho
31,sex,2018-10-26,22:30 (21:30),Vasco da Gama,1–1,Internacional,8.648,Estádio Club de Regatas Vasco da Gama
31,sáb,2018-10-27,23:00 (22:00),Cruzeiro,3–1,Paraná,18.755,Estádio Governador Magalhães Pinto
31,sáb,2018-10-27,23:00 (22:00),Ath Paranaense,2–1,Botafogo (RJ),7.133,Estádio Joaquim Américo Guimarães
31,seg,2018-10-29,20:00,Ceará,2–1,Atlético Mineiro,37.394,Estádio Castelão
,,,,,,,,
32,sáb,2018-11-03,18:00 (17:00),Fluminense,0–1,Vasco da Gama,14.275,Estadio Jornalista Mário Filho
32,sáb,2018-11-03,18:00 (17:00),Atlético Mineiro,0–1,Grêmio,16.758,Estádio Raimundo Sampaio
32,sáb,2018-11-03,20:00 (19:00),Palmeiras,3–2,Santos,38.938,Allianz Parque
32,dom,2018-11-04,17:00,América (MG),1–2,Cruzeiro,9.423,Estádio Raimundo Sampaio
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
32,dom,2018-11-04,17:00,Paraná,1–1,Vitória,931,Estádio Durival de Brito e Silva
32,dom,2018-11-04,17:00,Botafogo (RJ),1–0,Corinthians,21.463,Estádio Nilton Santos
32,dom,2018-11-04,17:00,São Paulo,2–2,Flamengo,32.612,Estádio do Morumbi
32,dom,2018-11-04,18:00 (19:00),Bahia,1–0,Chapecoense,17.448,Itaipava Arena Fonte Nova
32,dom,2018-11-04,19:00,Internacional,2–1,Ath Paranaense,23.318,Estádio José Pinheiro Borba
32,seg,2018-11-05,19:00 (20:00),Sport Recife,1–0,Ceará,25.002,Estádio Adelmar da Costa Carvalho
,,,,,,,,
33,sáb,2018-11-10,17:00,Corinthians,1–1,São Paulo,42.845,Arena Corinthians
33,sáb,2018-11-10,17:00,América (MG),0–1,Paraná,5.074,Estádio Raimundo Sampaio
33,sáb,2018-11-10,19:00,Botafogo (RJ),2–1,Flamengo,19.267,Estádio Nilton Santos
33,sáb,2018-11-10,19:00,Ath Paranaense,2–0,Cruzeiro,7.720,Estádio Joaquim Américo Guimarães
33,dom,2018-11-11,16:00 (17:00),Ceará,1–1,Internacional,43.575,Estádio Castelão
33,dom,2018-11-11,16:00 (17:00),Vitória,2–2,Bahia,21.714,Estádio Manoel Barradas
33,dom,2018-11-11,17:00,Atlético Mineiro,1–1,Palmeiras,20.488,Estádio Raimundo Sampaio
33,dom,2018-11-11,17:00,Grêmio,2–1,Vasco da Gama,20.763,Arena do Grêmio
33,dom,2018-11-11,19:00,Fluminense,0–0,Sport Recife,12.256,Estadio Jornalista Mário Filho
33,seg,2018-11-12,20:00,Santos,0–1,Chapecoense,12.659,Estádio Urbano Caldeira
,,,,,,,,
34,qua,2018-11-14,19:30,Vasco da Gama,1–1,Ath Paranaense,20.917,Estádio Club de Regatas Vasco da Gama
34,qua,2018-11-14,20:00 (21:00),Bahia,2–1,Ceará,17.825,Itaipava Arena Fonte Nova
34,qua,2018-11-14,20:45 (21:45),Sport Recife,0–0,Vitória,22.652,Estádio Adelmar da Costa Carvalho
34,qua,2018-11-14,21:00,Paraná,0–1,Atlético Mineiro,1.140,Estádio Durival de Brito e Silva
34,qua,2018-11-14,21:45,Cruzeiro,1–0,Corinthians,15.520,Estádio Governador Magalhães Pinto
34,qua,2018-11-14,21:45,Palmeiras,3–0,Fluminense,37.430,Allianz Parque
34,qui,2018-11-15,17:00,Chapecoense,0–1,Botafogo (RJ),17.261,Arena Condá
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
34,qui,2018-11-15,17:00,Flamengo,1–0,Santos,46.067,Estádio Luso-Brasileiro
34,qui,2018-11-15,19:00,São Paulo,1–1,Grêmio,24.757,Estádio do Morumbi
34,qui,2018-11-15,21:00,Internacional,2–0,América (MG),26.476,Estádio José Pinheiro Borba
,,,,,,,,
35,sáb,2018-11-17,18:00 (19:00),Vitória,1–2,Ath Paranaense,8.440,Estádio Manoel Barradas
35,sáb,2018-11-17,19:00,Corinthians,1–0,Vasco da Gama,38.605,Arena Corinthians
35,sáb,2018-11-17,21:00,Atlético Mineiro,1–0,Bahia,17.313,Estádio Raimundo Sampaio
35,dom,2018-11-18,16:00 (17:00),Sport Recife,0–1,Flamengo,26.005,Estádio Adelmar da Costa Carvalho
35,dom,2018-11-18,17:00,Paraná,1–1,Palmeiras,25.076,Estádio Durival de Brito e Silva
35,dom,2018-11-18,17:00,América (MG),2–1,Santos,4.652,Estádio Raimundo Sampaio
35,dom,2018-11-18,17:00,Botafogo (RJ),1–0,Internacional,19.006,Estádio Nilton Santos
35,dom,2018-11-18,19:00,Grêmio,2–0,Chapecoense,13.266,Arena do Grêmio
35,dom,2018-11-18,19:00,São Paulo,1–0,Cruzeiro,14.058,Estádio do Morumbi
35,seg,2018-11-19,20:00,Fluminense,0–0,Ceará,6.435,Estadio Jornalista Mário Filho
,,,,,,,,
36,qua,2018-11-21,19:30,Internacional,1–2,Atlético Mineiro,23.085,Estádio José Pinheiro Borba
36,qua,2018-11-21,21:00,Santos,1–1,Botafogo (RJ),3.620,Estádio Urbano Caldeira
36,qua,2018-11-21,21:45,Flamengo,2–0,Grêmio,36.978,Estádio Luso-Brasileiro
36,qua,2018-11-21,21:45,Cruzeiro,3–0,Vitória,4.038,Estádio Governador Magalhães Pinto
36,qua,2018-11-21,21:45,Ath Paranaense,1–0,Corinthians,14.320,Estádio Joaquim Américo Guimarães
36,qua,2018-11-21,21:45,Palmeiras,4–0,América (MG),39.429,Allianz Parque
36,qui,2018-11-22,20:00 (21:00),Bahia,2–0,Fluminense,16.784,Itaipava Arena Fonte Nova
36,qui,2018-11-22,20:00,Vasco da Gama,2–0,São Paulo,1.123,Estádio Club de Regatas Vasco da Gama
36,qui,2018-11-22,20:00 (21:00),Ceará,1–0,Paraná,48.824,Estádio Castelão
36,qui,2018-11-22,21:00,Chapecoense,2–1,Sport Recife,12.384,Arena Condá
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
,,,,,,,,
37,sáb,2018-11-24,20:00,Santos,3–2,Atlético Mineiro,4.591,Estádio Urbano Caldeira
37,dom,2018-11-25,16:00 (17:00),Vitória,0–0,Grêmio,4.283,Estádio Manoel Barradas
37,dom,2018-11-25,17:00,Cruzeiro,0–2,Flamengo,29.369,Estádio Governador Magalhães Pinto
37,dom,2018-11-25,17:00,Ath Paranaense,2–2,Ceará,9.632,Estádio Joaquim Américo Guimarães
37,dom,2018-11-25,17:00,Vasco da Gama,0–1,Palmeiras,22.957,Estádio Club de Regatas Vasco da Gama
37,dom,2018-11-25,19:00,Corinthians,0–0,Chapecoense,35.888,Arena Corinthians
37,dom,2018-11-25,19:00,Internacional,2–0,Fluminense,28.446,Estádio José Pinheiro Borba
37,dom,2018-11-25,19:00,América (MG),1–0,Bahia,7.409,Estádio Raimundo Sampaio
37,seg,2018-11-26,20:00,Botafogo (RJ),2–1,Paraná,28.972,Estádio Nilton Santos
37,seg,2018-11-26,20:00,São Paulo,0–0,Sport Recife,15.235,Estádio do Morumbi
,,,,,,,,
38,sáb,2018-12-01,19:00,Atlético Mineiro,1–0,Botafogo (RJ),19.171,Estádio Raimundo Sampaio
38,sáb,2018-12-01,19:00,Flamengo,1–2,Ath Paranaense,62.994,Estádio Luso-Brasileiro
38,dom,2018-12-02,16:00 (17:00),Ceará,0–0,Vasco da Gama,55.445,Estádio Castelão
38,dom,2018-12-02,16:00 (17:00),Sport Recife,2–1,Santos,23.451,Estádio Adelmar da Costa Carvalho
38,dom,2018-12-02,16:00 (17:00),Bahia,0–0,Cruzeiro,27.776,Itaipava Arena Fonte Nova
38,dom,2018-12-02,17:00,Palmeiras,3–2,Vitória,41.256,Allianz Parque
38,dom,2018-12-02,17:00,Fluminense,1–0,América (MG),38.870,Estadio Jornalista Mário Filho
38,dom,2018-12-02,17:00,Chapecoense,1–0,São Paulo,19.992,Arena Condá
38,dom,2018-12-02,17:00,Paraná,1–1,Internacional,2.228,Estádio Durival de Brito e Silva
38,dom,2018-12-02,17:00,Grêmio,1–0,Corinthians,38.974,Arena do Grêmio